error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b3l-lbdivp-p-1001,1001,Error,b3l,IL,FRMDATEB3L,Plausibility,FRMDATEB3L earliest date allowed,FRMDATEB3L must not be from date before form was released,Q0a. FRMDATEB3L (B3L form date) must not be from date before form was released (2017),IF FRMDATEB3L before (01/01/2017),,,,,
b3l-lbdivp-p-1002,1002,Alert,b3l,IL,LBUMGAIT,Plausibility,LBUMGAIT compared to Form D1L LBCMGAIT,If LBUMGAIT= 3 or 4 then LBCMGAIT should not equal 0,"If Q12. LBUMGAIT (Gait)= 3 or 4 (Severe disturbance of gait or cannot walk at all) then Form D1L, Q2g. LBCMGAIT (Gait abnormality) should not equal 0 (Absent)",If LBUMGAIT= 3 or 4 and LBCMGAIT=0,"b3l, d1l","LBUMGAIT, LBCMGAIT",,,
b3l-lbdivp-p-1003,1003,Alert,b3l,IL,LBUMGAIT,Plausibility,LBUMGAIT compared to Form D1L LBCMGAIT,If LBUMGAIT= 0 then LBCMGAIT should not equal 2,"If Q12. LBUMGAIT (Gait) = 0 (Normal) then Form D1L, Q2g. LBCMGAIT (Gait abnormality) should not equal 2 (Definitely present)",If LBUMGAIT= 0 and LBCMGAIT=2,"b3l, d1l","LBUMGAIT, LBCMGAIT",,,
b3l-lbdivp-p-1004,1004,Alert,b3l,IL,LBUPSTBL,Plausibility,LBUPSTBL compared to Form D1L LBCMPINS,If LBUPSTBL= 3 or 4 then LBCMPINS should not equal 0,"If Q13. LBUPSTBL (Postural stability) = 3 or 4 (Very unstable or unable to stand without assistance) then Form D1L, Q2h. LBCMPINS (Postural instability) should not equal 0 (Absent)",If LBUPSTBL= 3 or 4 and LBCMPINS=0,"b3l, d1l","LBUPSTBL, LBCMPINS",,,
b3l-lbdivp-p-1005,1005,Alert,b3l,IL,LBUPSTBL,Plausibility,LBUPSTBL compared to Form D1L LBCMPINS,If LBUPSTBL= 0 then LBCMPINS should not equal 2,"If Q13. LBUPSTBL (Postural stability)  = 0 (Normal) then Form D1L, Q2h. LBCMPINS (Postural instability) should not equal 2 (Definitely present)",If LBUPSTBL= 0 and LBCMPINS=2,"b3l, d1l","LBUPSTBL, LBCMPINS",,,
b3l-lbdivp-p-1006,1006,Alert,b3l,IL,LBUMTRFA,Plausibility,LBUMTRFA compared to Form D1L LBCMRTRM,If LBUMTRFA= 3 or 4 then LBCMRTRM should not equal 0,"If Q3a. LBUMTRFA (Tremor at rest - face, lips chin) = 3 or 4 (Moderate or marked in amplitude and present most of the time) then Form D1L, Q2c. LBCMRTRM (Rest tremor) should not equal 0 (Absent)",If LBUMTRFA= 3 or 4 and LBCMRTRM=0,"b3l, d1l","LBUMTRFA, LBCMRTRM",,,
b3l-lbdivp-p-1007,1007,Alert,b3l,IL,LBUMTRRH,Plausibility,LBUMTRRH compared to Form D1L LBCMRTRM,If LBUMTRRH= 3 or 4 then LBCMRTRM should not equal 0,"If Q3b. LBUMTRRH (Tremor at rest — right hand) = 3 or 4 (Moderate or marked in amplitude and present most of the time) then Form D1L, Q2c. LBCMRTRM (Rest tremor) should not equal 0 (Absent)",If LBUMTRRH= 3 or 4 and LBCMRTRM=0,"b3l, d1l","LBUMTRRH, LBCMRTRM",,,
b3l-lbdivp-p-1008,1008,Alert,b3l,IL,LBUMTRLH,Plausibility,LBUMTRLH compared to Form D1L LBCMRTRM,If LBUMTRLH= 3 or 4 then LBCMRTRM should not equal 0,"If Q3c. LBUMTRLH (Tremor at rest — left hand) = 3 or 4 (Moderate or marked in amplitude and present most of the time) then Form D1L, Q2c. LBCMRTRM (Rest tremor) should not equal 0 (Absent)",If LBUMTRLH= 3 or 4 and LBCMRTRM=0,"b3l, d1l","LBUMTRLH, LBCMRTRM",,,
b3l-lbdivp-p-1009,1009,Alert,b3l,IL,LBUMTRRF,Plausibility,LBUMTRRF compared to Form D1L LBCMRTRM,If LBUMTRRF= 3 or 4 then LBCMRTRM should not equal 0,"If Q3d. LBUMTRRF (Tremor at rest — right foot) = 3 or 4 (Moderate or marked in amplitude and present most of the time) then Form D1L, Q2c. LBCMRTRM (Rest tremor) should not equal 0 (Absent)",If LBUMTRRF= 3 or 4 and LBCMRTRM=0,"b3l, d1l","LBUMTRRF, LBCMRTRM",,,
b3l-lbdivp-p-1010,1010,Alert,b3l,IL,LBUMTRLF,Plausibility,LBUMTRLF compared to Form D1L LBCMRTRM,If LBUMTRLF= 3 or 4 then LBCMRTRM should not equal 0,"If Q3e. LBUMTRLF (Tremor at rest — left foot) = 3 or 4 (Moderate or marked in amplitude and present most of the time) then Form D1L, Q2c. LBCMRTRM (Rest tremor) should not equal 0 (Absent)",If LBUMTRLF= 3 or 4 and LBCMRTRM=0,"b3l, d1l","LBUMTRLF, LBCMRTRM",,,
b3l-lbdivp-p-1011,1011,Alert,b3l,IL,LBUMRGNK,Plausibility,LBUMRGNK compared to Form D1L LBCMRIGD,If LBUMRGNK= 3 or 4 then LBCMRIGD should not equal 0,"If Q5a. LBUMRGNK (Rigidity — neck) = 3 or 4 (Marked or severe) then Form D1L, Q2b. LBCMRIGD (Rigidity) should not equal 0 (Absent)",If LBUMRGNK= 3 or 4 and LBCMRIGD=0,"b3l, d1l","LBUMRGNK, LBCMRIGD",,,
