Form ,Packet,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?",,,,,,,,,,,,,,,,,,,,
B1,IVP,1. Participant height (inches),HEIGHT,Yes,"36.0 – 87.9, 88.8 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,2. Participant weight (lbs.),WEIGHT,Yes,"50 – 400, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,3a. Waist circumference measurements (inches): Measurement 1,WAIST1,yes,"20-60, 888",,,,,,,,,,,,,,,,,,,,
B1,IVP,3b. Waist circumference measurements (inches): Measurement 2,WAIST2,yes,"20-60, 888",,,,,,,,,,,,,,,,,,,,
B1,IVP,4a. Hip circumference measurements (inches): Measurement 1,HIP1,yes,"25-70, 888",,,,,,,,,,,,,,,,,,,,
B1,IVP,4b. Hip circumference measurements (inches): Measurement 2,HIP2,yes,"25-70, 888",,,,,,,,,,,,,,,,,,,,
B1,IVP,5a1a.  Participant blood pressure - Left arm: Systolic Reading 1,BPSYSL1,yes,"70-230, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5a1b.  Participant blood pressure - Left arm: Diastolic Reading 1,BPDIASL1,yes,"30-140, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5a2a. Participant blood pressure - Left arm: Systolic Reading 2,BPSYSL2,yes,"70-230, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5a2b.  Participant blood pressure - Left arm: Diastolic Reading 2,BPDIASL2,yes,"30-140, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5b1a.   Participant blood pressure - Right arm: Systolic Reading 1,BPSYSR1,yes,"70-230, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5b1b.   Participant blood pressure - Right arm: Diastolic Reading 1,BPDIASR1,yes,"30-140, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5b2a.   Participant blood pressure - Right arm: Systolic Reading 2,BPSYSR2,yes,"70-230, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,5b2b.   Participant blood pressure - Right arm: Diastolic Reading 2,BPDIASR2,yes,"30-140, 888 ",,,,,,,,,,,,,,,,,,,,
B1,IVP,6. Participant resting heart rate (pulse),HRATE,yes,"33 – 160, 888 ",,,,,,,,,,,,,,,,,,,,
