Form,Packet,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?"
A5D2,IVP,1a. Has participant smoked more than 100 cigarettes in their life?,TOBAC100,Always,"0, 1, 9"
A5D2,IVP,1b. Total years smoked,SMOKYRS,Conditional (e.g. skip pattern),"0-87, 99"
A5D2,IVP,1c. Average number of packs smoked per day,PACKSPER,Conditional (e.g. skip pattern),"1-5, 9"
A5D2,IVP,1d. Has participant smoked within the last 30 days?,TOBAC30,Conditional (e.g. skip pattern),"0, 1, 9"
A5D2,IVP,"1e. If the participant quit smoking, specify the age at which they last smoked (i.e., quit)",QUITSMOK,Conditional (e.g. skip pattern),"8-110, 888, 999"
A5D2,IVP,"1f. In the past 12 months, how often has the participant had a drink containing alcohol?",ALCFREQYR,Always,"0-4, 9"
A5D2,IVP,"1g. On a day when the participant drinks alcoholic beverages, how many standard drinks does the participant typically consume?",ALCDRINKS,Conditional (e.g. skip pattern),1-5 9
A5D2,IVP,"1h. In the past 12 months, how often did the participant have six or more drinks containing alcohol in one day?",ALCBINGE,Conditional (e.g. skip pattern),"0-4, 9"
A5D2,IVP,"1i1. Participant used substances including prescription or recreational drugs that caused significant impairment in work, legal, driving, or social areas within the past 12 months",SUBSTYEAR,Always,"0, 1, 9"
A5D2,IVP,"1i2. Participant used substances including prescription or recreational drugs that caused significant impairment in work, legal, driving, or social areas prior to 12 months ago",SUBSTPAST,Always,"0, 1, 9"
A5D2,IVP,"1j. In the past 12 months, how often has the participant consumed cannabis (edibles, smoked, or vaporized)?",CANNABIS,Always,"0-4, 9"
A5D2,IVP,2a. Heart attack (heart artery blockage),HRTATTACK,Always,"0-2, 9"
A5D2,IVP,2a1. More than one heart attack?,HRTATTMULT,Conditional (e.g. skip pattern),"0, 1, 9"
A5D2,IVP,2a2. Age at most recent heart attack,HRTATTAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,2b. Cardiac arrest (heart stopped),CARDARREST,Always,"0-2, 9"
A5D2,IVP,2b1. Age at most recent cardiac arrest,CARDARRAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,2c. Atrial fibrillation,CVAFIB,Always,"0-2, 9"
A5D2,IVP,2d. Coronary artery angioplasty / endarterectomy / stenting,CVANGIO,Always,"0-2, 9"
A5D2,IVP,2e. Coronary artery bypass procedure,CVBYPASS,Always,"0-2, 9"
A5D2,IVP,2e1. Age at most recent coronary artery bypass surgery,BYPASSAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,2f. Pacemaker and/or defibrillator implantation,CVPACDEF,Always,"0-2, 9"
A5D2,IVP,2f1. Age at first pacemaker and/or defibrillator implantation,PACDEFAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,2g. Congestive heart failure (including pulmonary edema),CVCHF,Always,"0-2, 9"
A5D2,IVP,2h. Heart valve replacement or repair,CVHVALVE,Always,"0-2, 9"
A5D2,IVP,2h1. Age at most recent heart valve replacement or repair procedure,VALVEAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,2i. Other cardiovascular disease,CVOTHR,Always,"0-2, 9"
A5D2,IVP,2i1. Specify other cardiovascular disease,CVOTHRX,Conditional (e.g. skip pattern),Any characters or numbers
A5D2,IVP,"3a. Stroke by history, not exam (imaging is not required)",CBSTROKE,Always,"0-2, 9"
A5D2,IVP,3a1. More than one stroke?,STROKMUL,Conditional (e.g. skip pattern),"0, 1, 9"
A5D2,IVP,3a2. Age at most recent stroke,STROKAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,3a3. What is status of stroke symptoms?,STROKSTAT,Conditional (e.g. skip pattern),"0-2, 9"
A5D2,IVP,3a4. Carotid artery surgery or stenting?,ANGIOCP,Conditional (e.g. skip pattern),"0, 1, 9"
A5D2,IVP,3a5. Age at most recent carotid artery surgery or stenting,CAROTIDAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,3b. Transient ischemic attack (TIA),CBTIA,Always,"0-2, 9"
A5D2,IVP,3b1. Age at most recent TIA,TIAAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,4a. Parkinson’s disease (PD),PD,Always,"0, 1, 9"
A5D2,IVP,4a1. Age at estimated PD symptom onset,PDAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,"4b. Other parkinsonism disorder (e.g., DLB)",PDOTHR,Always,"0, 1, 9"
A5D2,IVP,4b1. Age at parkinsonism disorder diagnosis,PDOTHRAGE,Conditional (e.g. skip pattern),"10-110, 999"
A5D2,IVP,4c. Epilepsy and/or history of seizures (excluding childhood febrile seizures),SEIZURES,Always,"0-2, 9"
A5D2,IVP,4c1. How many seizures has the participant had in the past 12 months?,SEIZNUM,Conditional (e.g. skip pattern),"0-2, 9"
A5D2,IVP,4c2. Age at first seizure (excluding childhood febrile seizures),SEIZAGE,Conditional (e.g. skip pattern),"0-110, 999"
A5D2,IVP,4d. Chronic headaches,HEADACHE,Always,"0-2, 9"
A5D2,IVP,4e. Multiple sclerosis,MS,Always,"0-2, 9"
A5D2,IVP,4f. Normal-pressure hydrocephalus,HYDROCEPH,Always,"0-2, 9"
A5D2,IVP,"4g. Repetitive head impacts (e.g. from contact sports, intimate partner violence, or military duty), regardless of whether it caused symptoms.",HEADIMP,Always,"0, 1, 9"
A5D2,IVP,4g1a. Source of exposure for repeated hits to the head: American football,IMPAMFOOT,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1b. Source of exposure for repeated hits to the head: Soccer,IMPSOCCER,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1c. Source of exposure for repeated hits to the head: Ice hockey,IMPHOCKEY,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1d. Source of exposure for repeated hits to the head: Boxing or mixed martial arts,IMPBOXING,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1e. Source of exposure for repeated hits to the head: Other contact sport,IMPSPORT,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1f. Source of exposure for repeated hits to the head: Intimate partner violence,IMPIPV,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1g. Source of exposure for repeated hits to the head: Military service,IMPMILIT,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1h. Source of exposure for repeated hits to the head: Physical assault,IMPASSAULT,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1i. Source of exposure for repeated hits to the head: Other cause,IMPOTHER,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,4g1i1. Specify other source of exposure for repeated hits to the head,IMPOTHERX,Conditional (e.g. skip pattern),Any characters or numbers
A5D2,IVP,4g2. Indicate the total length of time in years that the participant was exposed to repeated hits to the head (e.g. playing American football for 7 years),IMPYEARS,Conditional (e.g. skip pattern),"0-110, 999"
A5D2,IVP,"4h. Head injury (e.g. in a vehicle accident, being hit by an object, in a fall, while playing sports or biking, in an assault, or during military service) that resulted in a period of feeling ""dazed or confused,"" being unable to recall details of the injury, or loss of consciousness (if multiple head injuries, consider most severe episode).",HEADINJURY,Always,"0, 1, 9"
A5D2,IVP,"4h1. After a head injury, what was the longest period of time that the participant was unconscious?",HEADINJUNC,Conditional (e.g. skip pattern),"0-4, 8, 9"
A5D2,IVP,"4h2. After a head injury, what was the longest period that the participant was ""dazed or confused"" or unable to recall details of the injury?",HEADINJCON,Conditional (e.g. skip pattern),"0-4, 8, 9"
A5D2,IVP,"4h3. Total number of head injuries in which the participant felt ""dazed or confused"", unable to recall details of the injury or experienced loss of consciousness?",HEADINJNUM,Conditional (e.g. skip pattern),"0-4, 9"
A5D2,IVP,"4h4. Age of first head injury that resulted in a period of feeling ""dazed or confused,"" being unable to recall details of the injury, or loss of consciousness",FIRSTTBI,Conditional (e.g. skip pattern),"0-110, 999"
A5D2,IVP,"4h5. Age of most recent head injury that resulted in a period of feeling ""dazed or confused,"" being unable to recall details of the injury, or loss of consciousness",LASTTBI,Conditional (e.g. skip pattern),"0-110, 999"
A5D2,IVP,5a. Diabetes,DIABETES,Always,"0-2, 9"
A5D2,IVP,5a1. Diabetes type,DIABTYPE,Conditional (e.g. skip pattern),"1-3, 9"
A5D2,IVP,5a2a. Diabetes treated with: Insulin,DIABINS,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,5a2b. Diabetes treated with: Oral medications,DIABMEDS,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,5a2c. Diabetes treated with: Diet,DIABDIET,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,5a2d. Diabetes treated with: Unknown,DIABUNK,Conditional (e.g. skip pattern),1 or blank
A5D2,IVP,5a3. Age at diabetes diagnosis,DIABAGE,Conditional (e.g. skip pattern),"0-110, 999"
A5D2,IVP,5b. Hypertension (or taking medication for hypertension),HYPERTEN,Always,"0-2, 9"
A5D2,IVP,5b1. Age at hypertension diagnosis,HYPERTAGE,Conditional (e.g. skip pattern),"10-110, 999"
