error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
a3-fvp-p-1001,1001,Error,a3,F,MOMAGEO,Plausibility,MOMAGEO cannot be > than MOMDAGE,MOMAGEO must be <= MOMDAGE,Q1a6. MOMAGEO (Mom age of onset of primary dx) must be <= Q1a2. MOMDAGE (Mom death age) ,If MOMAGEO > MOMDAGE,,"MOMAGEO, MOMDAGE",No,No,
a3-fvp-p-1002,1002,Error,a3,F,DADAGEO,Plausibility,DADAGEO cannot be > than DADDAGE,DADAGEO must be <= DADDAGE,Q1b6. DADAGEO (Dad age of onset of primary dx) must be <= Q1b2. DADDAGE (Dad death age) ,If DADAGEO > DADDAGE,,"DADAGEO, DADDAGE",No,No,
a3-fvp-p-1003,1003,Error,a3,F,SIB1AGO,Plausibility,SIB1AGO cannot be > than SIB1AGD,"If SIB1AGO notin (666, 888, 999) and SIB1AGD notin (666, 888, 999), then SIB1AGO must be <= SIB1AGD","If Q2a6. SIB1AGO (Sibling 1 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2a2. SIB1AGD (Sibling 1 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2a6. SIB1AGO (Sibling 1 age of onset of primary dx) must be <= Q2a2. SIB1AGD (Sibling 1 death age)","If SIB1AGO notin (666, 888, 999) and SIB1AGD notin (666, 888, 999) and SIB1AGO > SIB1AGD",,"SIB1AGD, SIB1AGO",No,No,
a3-fvp-p-1004,1004,Error,a3,F,SIB2AGO,Plausibility,SIB2AGO cannot be > than SIB2AGD,"If SIB2AGO notin (666, 888, 999) and SIB2AGD notin (666, 888, 999), then SIB2AGO must be <= SIB2AGD","If Q2b6. SIB2AGO (Sibling 2 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2b2. SIB2AGD (Sibling 2 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2b6. SIB2AGO (Sibling 2 age of onset of primary dx) must be <= Q2b2. SIB2AGD (Sibling 2 death age)","If SIB2AGO notin (666, 888, 999) and SIB2AGD notin (666, 888, 999) and SIB2AGO > SIB2AGD",,"SIB2AGD, SIB2AGO",No,No,
a3-fvp-p-1005,1005,Error,a3,F,SIB3AGO,Plausibility,SIB3AGO cannot be > than SIB3AGD,"If SIB3AGO notin (666, 888, 999) and SIB3AGD notin (666, 888, 999), then SIB3AGO must be <= SIB3AGD","If Q2c6. SIB3AGO (Sibling 3 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2c2. SIB3AGD (Sibling 3 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2c6. SIB3AGO (Sibling 3 age of onset of primary dx) must be <= Q2c2. SIB3AGD (Sibling 3 death age)","If SIB3AGO notin (666, 888, 999) and SIB3AGD notin (666, 888, 999) and SIB3AGO > SIB3AGD",,"SIB3AGD, SIB3AGO",No,No,
a3-fvp-p-1006,1006,Error,a3,F,SIB4AGO,Plausibility,SIB4AGO cannot be > than SIB4AGD,"If SIB4AGO notin (666, 888, 999) and SIB4AGD notin (666, 888, 999), then SIB4AGO must be <= SIB4AGD","If Q2d6. SIB4AGO (Sibling 4 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2d2. SIB4AGD (Sibling 4 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2d6. SIB4AGO (Sibling 4 age of onset of primary dx) must be <= Q2d2. SIB4AGD (Sibling 4 death age)","If SIB4AGO notin (666, 888, 999) and SIB4AGD notin (666, 888, 999) and SIB4AGO > SIB4AGD",,"SIB4AGD, SIB4AGO",No,No,
a3-fvp-p-1007,1007,Error,a3,F,SIB5AGO,Plausibility,SIB5AGO cannot be > than SIB5AGD,"If SIB5AGO notin (666, 888, 999) and SIB5AGD notin (666, 888, 999), then SIB5AGO must be <= SIB5AGD","If Q2e6. SIB5AGO (Sibling 5 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2e2. SIB5AGD (Sibling 5 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2e6. SIB5AGO (Sibling 5 age of onset of primary dx) must be <= Q2e2. SIB5AGD (Sibling 5 death age)","If SIB5AGO notin (666, 888, 999) and SIB5AGD notin (666, 888, 999) and SIB5AGO > SIB5AGD",,"SIB5AGD, SIB5AGO",No,No,
a3-fvp-p-1008,1008,Error,a3,F,SIB6AGO,Plausibility,SIB6AGO cannot be > than SIB6AGD,"If SIB6AGO notin (666, 888, 999) and SIB6AGD notin (666, 888, 999), then SIB6AGO must be <= SIB6AGD","If Q2f6. SIB6AGO (Sibling 6 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2f2. SIB6AGD (Sibling 6 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2f6. SIB6AGO (Sibling 6 age of onset of primary dx) must be <= Q2f2. SIB6AGD (Sibling 6 death age)","If SIB6AGO notin (666, 888, 999) and SIB6AGD notin (666, 888, 999) and SIB6AGO > SIB6AGD",,"SIB6AGD, SIB6AGO",No,No,
a3-fvp-p-1009,1009,Error,a3,F,SIB7AGO,Plausibility,SIB7AGO cannot be > than SIB7AGD,"If SIB7AGO notin (666, 888, 999) and SIB7AGD notin (666, 888, 999), then SIB7AGO must be <= SIB7AGD","If Q2g6. SIB7AGO (Sibling 7 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2g2. SIB7AGD (Sibling 7 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2g6. SIB7AGO (Sibling 7 age of onset of primary dx) must be <= Q2g2. SIB7AGD (Sibling 7 death age)","If SIB7AGO notin (666, 888, 999) and SIB7AGD notin (666, 888, 999) and SIB7AGO > SIB7AGD",,"SIB7AGD, SIB7AGO",No,No,
a3-fvp-p-1010,1010,Error,a3,F,SIB8AGO,Plausibility,SIB8AGO cannot be > than SIB8AGD,"If SIB8AGO notin (666, 888, 999) and SIB8AGD notin (666, 888, 999), then SIB8AGO must be <= SIB8AGD","If Q2h6. SIB8AGO (Sibling 8 age of onset of primary dx) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown) and Q2h2. SIB8AGD (Sibling 8 death age) does not equal 666, 888, or 999 (provided at previous visit, na, or unknown), then Q2h6. SIB8AGO (Sibling 8 age of onset of primary dx) must be <= Q2h2. SIB8AGD (Sibling 8 death age)","If SIB8AGO notin (666, 888, 999) and SIB8AGD notin (666, 888, 999) and SIB8AGO > SIB8AGD",,"SIB8AGD, SIB8AGO",No,No,
